Site,Treatment,Colony,Date,Mass,Brood,Framesbees,Updatedbrood
Haglund 1,Soybean,15,6/27/16,13.75,54,4,92016
Haglund 1,Soybean,16,6/27/16,13.55,180,9,306720
Tracy 1,Soybean,17,6/27/16,8.3,164,7,279456
Tracy 1,Soybean,18,6/27/16,4.9,41,4,69864
Tracy 1,Soybean,19,6/27/16,12.75,248,16,422592
Tracy 1,Soybean,20,6/27/16,6.75,70,5,119280
Ivis,Soybean,21,6/27/16,7.27,0,7.5,0
Ivis,Soybean,22,6/27/16,16.05,185.5,15.5,316092
Ivis,Soybean,23,6/27/16,7.17,48.5,7,82644
Ivis,Soybean,24,6/27/16,16.41,225,19.5,383400
East Dairy,Soybean,25,6/27/16,15.29,278,15,473712
East Dairy,Soybean,26,6/27/16,14.93,216.5,12,368916
East Dairy,Soybean,27,6/27/16,9.75,177,12,301608
East Dairy,Soybean,28,6/27/16,15.11,160,9.5,272640
Curtiss,Soybean,29,6/27/16,4.95,23,3,39192
Curtiss,Soybean,30,6/27/16,15,305,15,519720
Curtiss,Soybean,31,6/27/16,5,189,8,322056
Curtiss,Soybean,32,6/27/16,11.85,200,11,340800
Oakland,Soybean,33,6/27/16,12.25,183,13,311832
Oakland,Soybean,34,6/27/16,15.95,164.5,13.5,280308
Oakland,Soybean,35,6/27/16,7.21,46.5,5,79236
Oakland,Soybean,36,6/27/16,13.15,221,16,376584
Kostelnick,Soybean,37,6/27/16,7.5,186,8,316944
Kostelnick,Soybean,38,6/27/16,7.45,61,5,103944
Kostelnick,Soybean,39,6/27/16,8.8,93,9,158472
Kostelnick,Soybean,40,6/27/16,9.45,143,9,243672
7 Pines,CSA,41,6/27/16,9.99,244.5,12.5,416628
7 Pines,CSA,42,6/27/16,18.63,52.5,14,89460
7 Pines,CSA,43,6/27/16,18.17,272.5,16.5,464340
7 Pines,CSA,44,6/27/16,12.81,125,12.5,213000
Black Cat,CSA,45,6/27/16,13.95,161.5,16.5,275196
Black Cat,CSA,46,6/27/16,15.87,290,16,494160
Black Cat,CSA,47,6/27/16,12.69,18.5,4,31524
Black Cat,CSA,48,6/27/16,6.43,33.5,4.5,57084
River Ridge,CSA,49,6/27/16,10.4,161,12,274344
River Ridge,CSA,50,6/27/16,6.15,130,6.5,221520
River Ridge,CSA,51,6/27/16,11.2,227,10,386808
River Ridge,CSA,52,6/27/16,18.95,254,16,432816
Mustard Seed,CSA,53,6/27/16,17.75,282,12,480528
Mustard Seed,CSA,54,6/27/16,6.05,93,4,158472
Mustard Seed,CSA,55,6/27/16,14.6,321,15,546984
Mustard Seed,CSA,56,6/27/16,9.95,0,13,0
Berry Patch Farm,CSA,57,6/27/16,10.83,81.5,7,138876
Berry Patch Farm,CSA,58,6/27/16,13.13,250.17,15,426289.68
Berry Patch Farm,CSA,59,6/27/16,17.49,65.5,10.5,111612
Berry Patch Farm,CSA,60,6/27/16,10.01,224.5,14,382548
Uthe,Soybean,1,7/8/16,10.3400997,138,7.5,235152
Uthe,Soybean,2,7/8/16,33.3807838,222,27.5,378288
Uthe,Soybean,3,7/8/16,22.0409763,191,19,325464
Uthe,Soybean,4,7/8/16,10.11330355,205.5,10.5,350172
Ontario,Soybean,5,7/8/16,10.45,114.5,16,195108
Ontario,Soybean,6,7/8/16,16.9,97,12,165288
Ontario,Soybean,7,7/8/16,7.35,77.5,9.5,132060
Ontario,Soybean,8,7/8/16,15.4,250,15,426000
Tracy 3,Soybean,9,7/8/16,4.05,65,3.5,110760
Tracy 3,Soybean,10,7/8/16,3.35,20,3,34080
Tracy 3,Soybean,11,7/8/16,8.65,109,6,185736
Tracy 3,Soybean,12,7/8/16,3.8,30,3.5,51120
Haglund 1,Soybean,13,7/8/16,8.5,20.5,7,34932
Haglund 1,Soybean,14,7/8/16,12.85,199,10,339096
Haglund 1,Soybean,15,7/8/16,17.75,231,13,393624
Haglund 1,Soybean,16,7/8/16,23.15,284.5,8,484788
Tracy 1,Soybean,17,7/8/16,16.1,215.5,17,367212
Tracy 1,Soybean,18,7/8/16,9.05,123.5,6.5,210444
Tracy 1,Soybean,19,7/8/16,18.35,221,10,376584
Tracy 1,Soybean,20,7/8/16,11.45,148,6,252192
Ivis,Soybean,21,7/8/16,14.8760227,78.5,9,133764
